#    L    TT             EE             BB             TE          
     2    0.14686E+08    0.32693E+01    0.14272E-05    0.64527E+04
     3    0.26769E+07    0.44033E+00    0.28550E-05    0.87109E+03
     4    0.12912E+07    0.18227E+00    0.47596E-05    0.26079E+03
     5    0.78892E+06    0.13257E+00    0.71418E-05    0.12858E+03
     6    0.56871E+06    0.94060E-01    0.10002E-04    0.72605E+02
     7    0.50453E+06    0.59521E-01    0.13343E-04    0.44816E+02
     8    0.31998E+06    0.35324E-01    0.17164E-04    0.25117E+02
     9    0.31284E+06    0.22088E-01    0.21467E-04    0.19659E+02
    10    0.25898E+06    0.15553E-01    0.26254E-04    0.13933E+02
    11    0.20171E+06    0.12587E-01    0.31527E-04    0.87509E+01
    12    0.17516E+06    0.11154E-01    0.37287E-04    0.66448E+01
    13    0.16411E+06    0.98682E-02    0.43536E-04    0.61508E+01
    14    0.15255E+06    0.83785E-02    0.50276E-04    0.53882E+01
    15    0.13811E+06    0.70755E-02    0.57508E-04    0.44307E+01
    16    0.12232E+06    0.63726E-02    0.65236E-04    0.37272E+01
    17    0.10850E+06    0.62535E-02    0.73461E-04    0.32679E+01
    18    0.99389E+05    0.64156E-02    0.82185E-04    0.29520E+01
    19    0.93544E+05    0.66867E-02    0.91410E-04    0.27642E+01
    20    0.88830E+05    0.70127E-02    0.10114E-03    0.26853E+01
    21    0.84532E+05    0.74125E-02    0.11137E-03    0.26069E+01
    22    0.80430E+05    0.80011E-02    0.12211E-03    0.24443E+01
    23    0.76862E+05    0.88449E-02    0.13336E-03    0.23002E+01
    24    0.74100E+05    0.99510E-02    0.14512E-03    0.22773E+01
    25    0.71583E+05    0.11307E-01    0.15739E-03    0.22938E+01
    26    0.68745E+05    0.12860E-01    0.17018E-03    0.22552E+01
    27    0.65851E+05    0.14585E-01    0.18348E-03    0.21955E+01
    28    0.63220E+05    0.16494E-01    0.19729E-03    0.21685E+01
    29    0.60559E+05    0.18606E-01    0.21163E-03    0.21732E+01
    30    0.57540E+05    0.20939E-01    0.22648E-03    0.21917E+01
    31    0.54279E+05    0.23459E-01    0.24185E-03    0.21996E+01
    32    0.51013E+05    0.26121E-01    0.25774E-03    0.21783E+01
    33    0.47990E+05    0.28946E-01    0.27415E-03    0.21393E+01
    34    0.45391E+05    0.31977E-01    0.29108E-03    0.20988E+01
    35    0.43098E+05    0.35231E-01    0.30853E-03    0.20581E+01
    36    0.40937E+05    0.38725E-01    0.32650E-03    0.20133E+01
    37    0.38813E+05    0.42446E-01    0.34499E-03    0.19604E+01
    38    0.36676E+05    0.46392E-01    0.36400E-03    0.18979E+01
    39    0.34573E+05    0.50572E-01    0.38353E-03    0.18275E+01
    40    0.32577E+05    0.55011E-01    0.40358E-03    0.17513E+01
    41    0.30748E+05    0.59730E-01    0.42414E-03    0.16703E+01
    42    0.29092E+05    0.64729E-01    0.44522E-03    0.15827E+01
    43    0.27601E+05    0.70005E-01    0.46681E-03    0.14857E+01
    44    0.26269E+05    0.75538E-01    0.48892E-03    0.13776E+01
    45    0.25088E+05    0.81319E-01    0.51154E-03    0.12565E+01
    46    0.24049E+05    0.87345E-01    0.53467E-03    0.11194E+01
    47    0.23131E+05    0.93617E-01    0.55832E-03    0.96787E+00
    48    0.22312E+05    0.10015E+00    0.58247E-03    0.80708E+00
    49    0.21567E+05    0.10692E+00    0.60712E-03    0.64175E+00
    50    0.20875E+05    0.11393E+00    0.63229E-03    0.46977E+00
    51    0.20218E+05    0.12113E+00    0.65795E-03    0.28729E+00
    52    0.19599E+05    0.12863E+00    0.68412E-03    0.89197E-01
    53    0.19029E+05    0.13655E+00    0.71079E-03   -0.12814E+00
    54    0.18516E+05    0.14489E+00    0.73796E-03   -0.36035E+00
    55    0.18069E+05    0.15362E+00    0.76564E-03   -0.60298E+00
    56    0.17696E+05    0.16260E+00    0.79381E-03   -0.85764E+00
    57    0.17390E+05    0.17171E+00    0.82247E-03   -0.11240E+01
    58    0.17141E+05    0.18097E+00    0.85163E-03   -0.14026E+01
    59    0.16939E+05    0.19042E+00    0.88129E-03   -0.16939E+01
    60    0.16775E+05    0.20013E+00    0.91145E-03   -0.19970E+01
    61    0.16639E+05    0.21017E+00    0.94210E-03   -0.23108E+01
    62    0.16521E+05    0.22055E+00    0.97325E-03   -0.26365E+01
    63    0.16412E+05    0.23121E+00    0.10049E-02   -0.29755E+01
    64    0.16303E+05    0.24217E+00    0.10370E-02   -0.33294E+01
    65    0.16183E+05    0.25340E+00    0.10697E-02   -0.36991E+01
    66    0.16045E+05    0.26482E+00    0.11028E-02   -0.40830E+01
    67    0.15890E+05    0.27644E+00    0.11364E-02   -0.44783E+01
    68    0.15720E+05    0.28831E+00    0.11705E-02   -0.48832E+01
    69    0.15539E+05    0.30037E+00    0.12052E-02   -0.52957E+01
    70    0.15349E+05    0.31268E+00    0.12403E-02   -0.57173E+01
    71    0.15151E+05    0.32522E+00    0.12759E-02   -0.61502E+01
    72    0.14945E+05    0.33797E+00    0.13121E-02   -0.65958E+01
    73    0.14727E+05    0.35089E+00    0.13487E-02   -0.70547E+01
    74    0.14495E+05    0.36397E+00    0.13859E-02   -0.75261E+01
    75    0.14246E+05    0.37722E+00    0.14235E-02   -0.80085E+01
    76    0.13980E+05    0.39065E+00    0.14617E-02   -0.85012E+01
    77    0.13707E+05    0.40424E+00    0.15004E-02   -0.90042E+01
    78    0.13438E+05    0.41802E+00    0.15396E-02   -0.95187E+01
    79    0.13184E+05    0.43194E+00    0.15794E-02   -0.10041E+02
    80    0.12956E+05    0.44600E+00    0.16196E-02   -0.10573E+02
    81    0.12764E+05    0.46014E+00    0.16604E-02   -0.11114E+02
    82    0.12601E+05    0.47439E+00    0.17018E-02   -0.11664E+02
    83    0.12459E+05    0.48873E+00    0.17436E-02   -0.12222E+02
    84    0.12331E+05    0.50315E+00    0.17860E-02   -0.12786E+02
    85    0.12207E+05    0.51762E+00    0.18290E-02   -0.13358E+02
    86    0.12080E+05    0.53216E+00    0.18725E-02   -0.13937E+02
    87    0.11953E+05    0.54674E+00    0.19165E-02   -0.14521E+02
    88    0.11827E+05    0.56138E+00    0.19611E-02   -0.15111E+02
    89    0.11706E+05    0.57605E+00    0.20062E-02   -0.15708E+02
    90    0.11593E+05    0.59072E+00    0.20519E-02   -0.16310E+02
    91    0.11489E+05    0.60539E+00    0.20982E-02   -0.16917E+02
    92    0.11395E+05    0.62004E+00    0.21450E-02   -0.17529E+02
    93    0.11312E+05    0.63467E+00    0.21924E-02   -0.18146E+02
    94    0.11238E+05    0.64923E+00    0.22403E-02   -0.18766E+02
    95    0.11174E+05    0.66373E+00    0.22888E-02   -0.19389E+02
    96    0.11119E+05    0.67815E+00    0.23379E-02   -0.20016E+02
    97    0.11073E+05    0.69248E+00    0.23876E-02   -0.20646E+02
    98    0.11037E+05    0.70672E+00    0.24379E-02   -0.21276E+02
    99    0.11009E+05    0.72082E+00    0.24887E-02   -0.21909E+02
   100    0.10990E+05    0.73480E+00    0.25401E-02   -0.22541E+02
   101    0.10979E+05    0.74869E+00    0.25921E-02   -0.23175E+02
   102    0.10977E+05    0.76237E+00    0.26447E-02   -0.23809E+02
   103    0.10982E+05    0.77591E+00    0.26979E-02   -0.24444E+02
   104    0.10996E+05    0.78930E+00    0.27517E-02   -0.25076E+02
   105    0.11016E+05    0.80247E+00    0.28061E-02   -0.25707E+02
   106    0.11045E+05    0.81550E+00    0.28610E-02   -0.26337E+02
   107    0.11080E+05    0.82824E+00    0.29166E-02   -0.26963E+02
   108    0.11122E+05    0.84077E+00    0.29728E-02   -0.27587E+02
   109    0.11171E+05    0.85300E+00    0.30296E-02   -0.28208E+02
   110    0.11227E+05    0.86495E+00    0.30870E-02   -0.28823E+02
   111    0.11288E+05    0.87668E+00    0.31450E-02   -0.29435E+02
   112    0.11355E+05    0.88813E+00    0.32036E-02   -0.30042E+02
   113    0.11427E+05    0.89929E+00    0.32628E-02   -0.30643E+02
   114    0.11503E+05    0.91009E+00    0.33227E-02   -0.31238E+02
   115    0.11583E+05    0.92068E+00    0.33831E-02   -0.31826E+02
   116    0.11665E+05    0.93084E+00    0.34442E-02   -0.32406E+02
   117    0.11749E+05    0.94063E+00    0.35060E-02   -0.32978E+02
   118    0.11834E+05    0.95022E+00    0.35683E-02   -0.33543E+02
   119    0.11919E+05    0.95944E+00    0.36313E-02   -0.34098E+02
   120    0.12004E+05    0.96816E+00    0.36949E-02   -0.34643E+02
   121    0.12088E+05    0.97668E+00    0.37592E-02   -0.35179E+02
   122    0.12171E+05    0.98468E+00    0.38241E-02   -0.35704E+02
   123    0.12250E+05    0.99225E+00    0.38897E-02   -0.36218E+02
   124    0.12327E+05    0.99947E+00    0.39559E-02   -0.36719E+02
   125    0.12399E+05    0.10063E+01    0.40228E-02   -0.37208E+02
   126    0.12467E+05    0.10127E+01    0.40903E-02   -0.37686E+02
   127    0.12529E+05    0.10186E+01    0.41585E-02   -0.38150E+02
   128    0.12585E+05    0.10242E+01    0.42274E-02   -0.38602E+02
   129    0.12635E+05    0.10293E+01    0.42970E-02   -0.39038E+02
   130    0.12677E+05    0.10338E+01    0.43672E-02   -0.39460E+02
   131    0.12710E+05    0.10380E+01    0.44382E-02   -0.39868E+02
   132    0.12737E+05    0.10418E+01    0.45098E-02   -0.40259E+02
   133    0.12757E+05    0.10450E+01    0.45822E-02   -0.40636E+02
   134    0.12772E+05    0.10479E+01    0.46553E-02   -0.40995E+02
   135    0.12781E+05    0.10503E+01    0.47291E-02   -0.41338E+02
   136    0.12788E+05    0.10521E+01    0.48036E-02   -0.41661E+02
   137    0.12791E+05    0.10535E+01    0.48788E-02   -0.41967E+02
   138    0.12793E+05    0.10545E+01    0.49548E-02   -0.42255E+02
   139    0.12793E+05    0.10551E+01    0.50316E-02   -0.42523E+02
   140    0.12794E+05    0.10551E+01    0.51090E-02   -0.42773E+02
   141    0.12795E+05    0.10546E+01    0.51873E-02   -0.43002E+02
   142    0.12798E+05    0.10537E+01    0.52663E-02   -0.43212E+02
