#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.12408E+04    0.51924E-01    0.00000E+00    0.17471E+01    0.47412E-07    0.43846E-02   -0.15850E-04
     3    0.11430E+04    0.84156E-01    0.00000E+00    0.26700E+01    0.57524E-07    0.42416E-02   -0.19111E-04
     4    0.10509E+04    0.93523E-01    0.00000E+00    0.31411E+01    0.66169E-07    0.40303E-02   -0.18888E-04
     5    0.97804E+03    0.81832E-01    0.00000E+00    0.32236E+01    0.73673E-07    0.38073E-02   -0.16229E-04
     6    0.92425E+03    0.59603E-01    0.00000E+00    0.30387E+01    0.80222E-07    0.35962E-02   -0.12074E-04
     7    0.88657E+03    0.37530E-01    0.00000E+00    0.26990E+01    0.85985E-07    0.34063E-02   -0.73179E-05
     8    0.86085E+03    0.21725E-01    0.00000E+00    0.22992E+01    0.91084E-07    0.32352E-02   -0.27650E-05
     9    0.84412E+03    0.13187E-01    0.00000E+00    0.19068E+01    0.95621E-07    0.30782E-02    0.95974E-06
    10    0.83423E+03    0.98019E-02    0.00000E+00    0.15709E+01    0.99658E-07    0.29337E-02    0.35293E-05
    11    0.82922E+03    0.87584E-02    0.00000E+00    0.13203E+01    0.10328E-06    0.28040E-02    0.49076E-05
    12    0.82891E+03    0.81493E-02    0.00000E+00    0.11668E+01    0.10652E-06    0.26887E-02    0.51954E-05
    13    0.83120E+03    0.71910E-02    0.00000E+00    0.10944E+01    0.10940E-06    0.25856E-02    0.45661E-05
    14    0.83488E+03    0.61406E-02    0.00000E+00    0.10798E+01    0.11199E-06    0.24919E-02    0.32481E-05
    15    0.84014E+03    0.53212E-02    0.00000E+00    0.11063E+01    0.11431E-06    0.24047E-02    0.16625E-05
    16    0.84731E+03    0.49602E-02    0.00000E+00    0.11596E+01    0.11638E-06    0.23216E-02    0.21808E-06
    17    0.85624E+03    0.50561E-02    0.00000E+00    0.12243E+01    0.11823E-06    0.22432E-02   -0.88694E-06
    18    0.86594E+03    0.53633E-02    0.00000E+00    0.12885E+01    0.11990E-06    0.21705E-02   -0.15507E-05
    19    0.87723E+03    0.57389E-02    0.00000E+00    0.13455E+01    0.12137E-06    0.21019E-02   -0.18455E-05
    20    0.88846E+03    0.61495E-02    0.00000E+00    0.13897E+01    0.12268E-06    0.20355E-02   -0.18618E-05
