#    L    TT             EE             BB             TE          
     2    0.12408E+04    0.51925E-01    0.13968E-05    0.17471E+01
     3    0.11430E+04    0.84158E-01    0.27941E-05    0.26700E+01
     4    0.10510E+04    0.93528E-01    0.46579E-05    0.31411E+01
     5    0.97805E+03    0.81839E-01    0.69888E-05    0.32236E+01
     6    0.92427E+03    0.59613E-01    0.97875E-05    0.30387E+01
     7    0.88660E+03    0.37543E-01    0.13055E-04    0.26990E+01
     8    0.86089E+03    0.21742E-01    0.16792E-04    0.22992E+01
     9    0.84416E+03    0.13208E-01    0.21000E-04    0.19068E+01
    10    0.83429E+03    0.98276E-02    0.25680E-04    0.15709E+01
    11    0.82929E+03    0.87892E-02    0.30834E-04    0.13202E+01
    12    0.82898E+03    0.81858E-02    0.36462E-04    0.11668E+01
    13    0.83128E+03    0.72336E-02    0.42567E-04    0.10944E+01
    14    0.83498E+03    0.61897E-02    0.49150E-04    0.10798E+01
    15    0.84025E+03    0.53774E-02    0.56212E-04    0.11063E+01
    16    0.84743E+03    0.50240E-02    0.63756E-04    0.11595E+01
    17    0.85638E+03    0.51279E-02    0.71782E-04    0.12243E+01
    18    0.86609E+03    0.54436E-02    0.80293E-04    0.12884E+01
    19    0.87740E+03    0.58282E-02    0.89291E-04    0.13454E+01
    20    0.88865E+03    0.62483E-02    0.98777E-04    0.13896E+01
    21    0.90018E+03    0.67388E-02    0.10875E-03    0.14267E+01
    22    0.91228E+03    0.74233E-02    0.11922E-03    0.14628E+01
    23    0.92484E+03    0.83520E-02    0.13018E-03    0.14990E+01
    24    0.93800E+03    0.95178E-02    0.14163E-03    0.15356E+01
    25    0.95169E+03    0.10930E-01    0.15358E-03    0.15744E+01
    26    0.96572E+03    0.12558E-01    0.16603E-03    0.16179E+01
    27    0.98027E+03    0.14362E-01    0.17898E-03    0.16635E+01
    28    0.99514E+03    0.16332E-01    0.19243E-03    0.17089E+01
    29    0.10104E+04    0.18481E-01    0.20637E-03    0.17521E+01
    30    0.10258E+04    0.20826E-01    0.22082E-03    0.17898E+01
    31    0.10413E+04    0.23354E-01    0.23577E-03    0.18197E+01
    32    0.10572E+04    0.26036E-01    0.25123E-03    0.18392E+01
    33    0.10735E+04    0.28885E-01    0.26719E-03    0.18460E+01
    34    0.10900E+04    0.31930E-01    0.28365E-03    0.18394E+01
    35    0.11068E+04    0.35193E-01    0.30062E-03    0.18238E+01
    36    0.11237E+04    0.38691E-01    0.31809E-03    0.18020E+01
    37    0.11406E+04    0.42417E-01    0.33607E-03    0.17699E+01
    38    0.11580E+04    0.46365E-01    0.35455E-03    0.17248E+01
    39    0.11758E+04    0.50548E-01    0.37354E-03    0.16692E+01
    40    0.11937E+04    0.54988E-01    0.39303E-03    0.16059E+01
    41    0.12117E+04    0.59705E-01    0.41303E-03    0.15371E+01
    42    0.12298E+04    0.64701E-01    0.43352E-03    0.14607E+01
    43    0.12480E+04    0.69973E-01    0.45452E-03    0.13739E+01
    44    0.12663E+04    0.75501E-01    0.47603E-03    0.12748E+01
    45    0.12849E+04    0.81276E-01    0.49803E-03    0.11613E+01
    46    0.13038E+04    0.87296E-01    0.52054E-03    0.10305E+01
    47    0.13230E+04    0.93562E-01    0.54354E-03    0.88404E+00
    48    0.13422E+04    0.10009E+00    0.56704E-03    0.72766E+00
    49    0.13616E+04    0.10686E+00    0.59104E-03    0.56646E+00
    50    0.13813E+04    0.11386E+00    0.61553E-03    0.39874E+00
    51    0.14013E+04    0.12107E+00    0.64052E-03    0.22100E+00
    52    0.14216E+04    0.12856E+00    0.66601E-03    0.27999E-01
    53    0.14419E+04    0.13648E+00    0.69199E-03   -0.18405E+00
    54    0.14621E+04    0.14483E+00    0.71846E-03   -0.41099E+00
    55    0.14825E+04    0.15356E+00    0.74542E-03   -0.64853E+00
    56    0.15033E+04    0.16254E+00    0.77287E-03   -0.89848E+00
    57    0.15243E+04    0.17165E+00    0.80081E-03   -0.11607E+01
    58    0.15457E+04    0.18092E+00    0.82924E-03   -0.14356E+01
    59    0.15672E+04    0.19037E+00    0.85816E-03   -0.17240E+01
    60    0.15889E+04    0.20008E+00    0.88756E-03   -0.20250E+01
    61    0.16110E+04    0.21012E+00    0.91746E-03   -0.23376E+01
    62    0.16331E+04    0.22050E+00    0.94784E-03   -0.26627E+01
    63    0.16552E+04    0.23116E+00    0.97871E-03   -0.30016E+01
    64    0.16777E+04    0.24212E+00    0.10101E-02   -0.33554E+01
    65    0.17003E+04    0.25334E+00    0.10419E-02   -0.37249E+01
    66    0.17232E+04    0.26476E+00    0.10742E-02   -0.41084E+01
    67    0.17462E+04    0.27639E+00    0.11070E-02   -0.45028E+01
    68    0.17697E+04    0.28825E+00    0.11404E-02   -0.49065E+01
    69    0.17934E+04    0.30032E+00    0.11742E-02   -0.53176E+01
    70    0.18174E+04    0.31263E+00    0.12084E-02   -0.57375E+01
    71    0.18415E+04    0.32517E+00    0.12432E-02   -0.61687E+01
    72    0.18658E+04    0.33792E+00    0.12785E-02   -0.66126E+01
    73    0.18902E+04    0.35084E+00    0.13142E-02   -0.70697E+01
    74    0.19149E+04    0.36392E+00    0.13505E-02   -0.75394E+01
    75    0.19398E+04    0.37718E+00    0.13873E-02   -0.80203E+01
    76    0.19651E+04    0.39060E+00    0.14245E-02   -0.85118E+01
    77    0.19906E+04    0.40419E+00    0.14623E-02   -0.90137E+01
