#    L    TT             EE             TE             PP             TP          
     2    0.12408E+04    0.51924E-01    0.17471E+01    0.98351E+06    0.40871E+05
     3    0.11430E+04    0.84156E-01    0.26700E+01    0.15102E+07    0.47179E+05
     4    0.10509E+04    0.93523E-01    0.31411E+01    0.19766E+07    0.49386E+05
     5    0.97804E+03    0.81832E-01    0.32236E+01    0.23879E+07    0.49599E+05
     6    0.92425E+03    0.59603E-01    0.30387E+01    0.27509E+07    0.48870E+05
     7    0.88657E+03    0.37530E-01    0.26990E+01    0.30726E+07    0.47744E+05
     8    0.86085E+03    0.21725E-01    0.22992E+01    0.33590E+07    0.46430E+05
     9    0.84412E+03    0.13187E-01    0.19068E+01    0.36150E+07    0.45007E+05
    10    0.83423E+03    0.98019E-02    0.15709E+01    0.38441E+07    0.43546E+05
    11    0.82922E+03    0.87584E-02    0.13203E+01    0.40507E+07    0.42142E+05
    12    0.82891E+03    0.81493E-02    0.11668E+01    0.42361E+07    0.40835E+05
    13    0.83120E+03    0.71910E-02    0.10944E+01    0.44028E+07    0.39619E+05
    14    0.83488E+03    0.61406E-02    0.10798E+01    0.45533E+07    0.38479E+05
    15    0.84014E+03    0.53212E-02    0.11063E+01    0.46891E+07    0.37381E+05
    16    0.84731E+03    0.49602E-02    0.11596E+01    0.48116E+07    0.36300E+05
    17    0.85624E+03    0.50561E-02    0.12243E+01    0.49223E+07    0.35257E+05
    18    0.86594E+03    0.53633E-02    0.12885E+01    0.50224E+07    0.34273E+05
    19    0.87723E+03    0.57389E-02    0.13455E+01    0.51126E+07    0.33329E+05
    20    0.88846E+03    0.61495E-02    0.13897E+01    0.51935E+07    0.32398E+05
    21    0.89998E+03    0.66301E-02    0.14268E+01    0.52659E+07    0.31473E+05
    22    0.91206E+03    0.73042E-02    0.14629E+01    0.53310E+07    0.30556E+05
    23    0.92460E+03    0.82220E-02    0.14992E+01    0.53892E+07    0.29670E+05
    24    0.93774E+03    0.93764E-02    0.15359E+01    0.54409E+07    0.28842E+05
    25    0.95141E+03    0.10777E-01    0.15747E+01    0.54867E+07    0.28083E+05
    26    0.96542E+03    0.12392E-01    0.16182E+01    0.55272E+07    0.27393E+05
    27    0.97995E+03    0.14183E-01    0.16639E+01    0.55629E+07    0.26747E+05
    28    0.99480E+03    0.16140E-01    0.17093E+01    0.55941E+07    0.26119E+05
    29    0.10100E+04    0.18275E-01    0.17525E+01    0.56208E+07    0.25492E+05
    30    0.10254E+04    0.20606E-01    0.17903E+01    0.56432E+07    0.24857E+05
    31    0.10409E+04    0.23119E-01    0.18203E+01    0.56617E+07    0.24217E+05
    32    0.10568E+04    0.25786E-01    0.18398E+01    0.56768E+07    0.23583E+05
    33    0.10730E+04    0.28619E-01    0.18467E+01    0.56887E+07    0.22976E+05
    34    0.10895E+04    0.31648E-01    0.18402E+01    0.56977E+07    0.22413E+05
    35    0.11063E+04    0.34894E-01    0.18247E+01    0.57039E+07    0.21899E+05
    36    0.11231E+04    0.38375E-01    0.18029E+01    0.57075E+07    0.21431E+05
    37    0.11401E+04    0.42083E-01    0.17708E+01    0.57088E+07    0.20994E+05
    38    0.11575E+04    0.46014E-01    0.17259E+01    0.57080E+07    0.20572E+05
    39    0.11752E+04    0.50178E-01    0.16703E+01    0.57051E+07    0.20155E+05
    40    0.11930E+04    0.54598E-01    0.16072E+01    0.57002E+07    0.19731E+05
    41    0.12111E+04    0.59296E-01    0.15384E+01    0.56934E+07    0.19294E+05
    42    0.12291E+04    0.64273E-01    0.14621E+01    0.56848E+07    0.18852E+05
    43    0.12473E+04    0.69524E-01    0.13754E+01    0.56746E+07    0.18416E+05
    44    0.12655E+04    0.75031E-01    0.12764E+01    0.56628E+07    0.17998E+05
    45    0.12841E+04    0.80786E-01    0.11631E+01    0.56496E+07    0.17610E+05
    46    0.13031E+04    0.86784E-01    0.10323E+01    0.56351E+07    0.17259E+05
    47    0.13221E+04    0.93028E-01    0.88597E+00    0.56194E+07    0.16937E+05
    48    0.13413E+04    0.99530E-01    0.72969E+00    0.56026E+07    0.16633E+05
    49    0.13607E+04    0.10628E+00    0.56859E+00    0.55848E+07    0.16336E+05
    50    0.13804E+04    0.11326E+00    0.40098E+00    0.55661E+07    0.16033E+05
    51    0.14003E+04    0.12044E+00    0.22333E+00    0.55465E+07    0.15718E+05
    52    0.14206E+04    0.12791E+00    0.30425E-01    0.55260E+07    0.15393E+05
    53    0.14409E+04    0.13581E+00   -0.18154E+00    0.55048E+07    0.15070E+05
    54    0.14611E+04    0.14413E+00   -0.40839E+00    0.54829E+07    0.14755E+05
    55    0.14815E+04    0.15284E+00   -0.64584E+00    0.54602E+07    0.14459E+05
    56    0.15022E+04    0.16179E+00   -0.89571E+00    0.54370E+07    0.14186E+05
    57    0.15233E+04    0.17088E+00   -0.11578E+01    0.54131E+07    0.13935E+05
    58    0.15446E+04    0.18012E+00   -0.14327E+01    0.53887E+07    0.13700E+05
    59    0.15661E+04    0.18955E+00   -0.17211E+01    0.53637E+07    0.13476E+05
    60    0.15877E+04    0.19923E+00   -0.20220E+01    0.53383E+07    0.13259E+05
    61    0.16098E+04    0.20925E+00   -0.23345E+01    0.53124E+07    0.13044E+05
    62    0.16318E+04    0.21960E+00   -0.26597E+01    0.52861E+07    0.12829E+05
    63    0.16539E+04    0.23024E+00   -0.29985E+01    0.52595E+07    0.12615E+05
