#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.12408E+04    0.17471E+01    0.17900E-02    0.17471E+01    0.51924E-01   -0.64706E-05    0.17900E-02   -0.64706E-05    0.79020E-08
     3    0.11430E+04    0.26700E+01    0.12244E-02    0.26700E+01    0.84156E-01   -0.55169E-05    0.12244E-02   -0.55169E-05    0.47937E-08
     4    0.10509E+04    0.31411E+01    0.90121E-03    0.31411E+01    0.93523E-01   -0.42234E-05    0.90121E-03   -0.42234E-05    0.33085E-08
     5    0.97804E+03    0.32236E+01    0.69512E-03    0.32236E+01    0.81832E-01   -0.29630E-05    0.69512E-03   -0.29630E-05    0.24558E-08
     6    0.92425E+03    0.30387E+01    0.55490E-03    0.30387E+01    0.59603E-01   -0.18631E-05    0.55490E-03   -0.18631E-05    0.19100E-08
     7    0.88657E+03    0.26990E+01    0.45519E-03    0.26990E+01    0.37530E-01   -0.97789E-06    0.45519E-03   -0.97789E-06    0.15355E-08
     8    0.86085E+03    0.22992E+01    0.38127E-03    0.22992E+01    0.21725E-01   -0.32586E-06    0.38127E-03   -0.32586E-06    0.12651E-08
     9    0.84412E+03    0.19068E+01    0.32447E-03    0.19068E+01    0.13187E-01    0.10117E-06    0.32447E-03    0.10117E-06    0.10625E-08
    10    0.83423E+03    0.15709E+01    0.27971E-03    0.15709E+01    0.98019E-02    0.33651E-06    0.27971E-03    0.33651E-06    0.90598E-09
    11    0.82922E+03    0.13203E+01    0.24406E-03    0.13203E+01    0.87584E-02    0.42715E-06    0.24406E-03    0.42715E-06    0.78245E-09
    12    0.82891E+03    0.11668E+01    0.21524E-03    0.11668E+01    0.81493E-02    0.41652E-06    0.21524E-03    0.41652E-06    0.68269E-09
    13    0.83120E+03    0.10944E+01    0.19165E-03    0.10944E+01    0.71910E-02    0.33846E-06    0.19165E-03    0.33846E-06    0.60112E-09
    14    0.83488E+03    0.10798E+01    0.17195E-03    0.10798E+01    0.61406E-02    0.22475E-06    0.17195E-03    0.22475E-06    0.53327E-09
    15    0.84014E+03    0.11063E+01    0.15523E-03    0.11063E+01    0.53212E-02    0.10731E-06    0.15523E-03    0.10731E-06    0.47628E-09
    16    0.84731E+03    0.11596E+01    0.14077E-03    0.11596E+01    0.49602E-02    0.13134E-07    0.14077E-03    0.13134E-07    0.42785E-09
    17    0.85624E+03    0.12243E+01    0.12823E-03    0.12243E+01    0.50561E-02   -0.50703E-07    0.12823E-03   -0.50703E-07    0.38639E-09
    18    0.86594E+03    0.12885E+01    0.11736E-03    0.12885E+01    0.53633E-02   -0.84061E-07    0.11736E-03   -0.84061E-07    0.35056E-09
    19    0.87723E+03    0.13455E+01    0.10782E-03    0.13455E+01    0.57389E-02   -0.94671E-07    0.10782E-03   -0.94671E-07    0.31940E-09
    20    0.88846E+03    0.13897E+01    0.99324E-04    0.13897E+01    0.61495E-02   -0.90720E-07    0.99324E-04   -0.90720E-07    0.29208E-09
    21    0.89998E+03    0.14268E+01    0.91686E-04    0.14268E+01    0.66301E-02   -0.74346E-07    0.91686E-04   -0.74346E-07    0.26802E-09
    22    0.91206E+03    0.14629E+01    0.84791E-04    0.14629E+01    0.73042E-02   -0.47706E-07    0.84791E-04   -0.47706E-07    0.24671E-09
    23    0.92460E+03    0.14992E+01    0.78604E-04    0.14992E+01    0.82220E-02   -0.19064E-07    0.78604E-04   -0.19064E-07    0.22776E-09
    24    0.93774E+03    0.15359E+01    0.73100E-04    0.15359E+01    0.93764E-02    0.29993E-08    0.73100E-04    0.29993E-08    0.21082E-09
    25    0.95141E+03    0.15747E+01    0.68220E-04    0.15747E+01    0.10777E-01    0.14732E-07    0.68220E-04    0.14732E-07    0.19561E-09
    26    0.96542E+03    0.16182E+01    0.63888E-04    0.16182E+01    0.12392E-01    0.15118E-07    0.63888E-04    0.15118E-07    0.18192E-09
